Geneid	Length	670-105-B	670-105-F	670-1190-B	670-1190-F	670-34-B	670-34-F	716-23-B	716-23-F	716-4-B	716-4-F	716-6-B	716-6-F
sapp55813	2370	17	1	41	2	14	2	22	29	21	2	29	2
sapp54501	525	0	0	0	0	0	0	0	0	0	0	0	0
sapp54503	375	0	0	0	0	0	0	0	0	0	0	0	0
sapp48818	983	338	115	470	213	368	170	383	173	389	120	400	168
sapp48818	470	0	0	0	0	0	0	0	0	0	0	0	0
sapp48818	577	1	0	1	0	0	0	0	0	1	0	0	0
sapp40494	1957	250	167	390	254	213	209	224	198	306	219	291	153
sapp40501	210	0	0	0	0	0	0	0	0	0	0	0	0
sapp40499	2803	244	60	444	102	367	125	226	133	319	111	296	102
sapp40505	949	132	320	171	481	193	400	215	453	245	512	177	460
sapp40502	2470	323	293	510	462	467	366	442	386	408	372	413	401
sapp40508	1035	0	0	0	0	1	0	0	0	0	1	0	1
sapp43866	1076	30	8	79	33	55	23	64	41	109	35	96	24
sapp43863	828	3	1	64	3	4	6	4	2	2	3	26	3
sapp43869	450	0	0	0	0	0	0	0	0	0	0	0	0
sapp43868	336	0	0	0	0	0	0	0	0	0	0	0	0
sapp43870	534	0	0	0	0	0	0	0	0	0	0	0	0
sapp43875	1857	2	0	2	0	2	0	4	0	1	0	0	0
sapp43871	1119	35	15	82	42	58	24	55	35	52	15	50	27
sapp43873	1161	401	346	549	689	377	568	333	518	465	686	490	555
sapp43884	1389	0	0	0	8	2	1	1	24	0	5	0	5
sapp43880	1563	8	1	16	7	12	11	18	9	21	10	11	1
sapp43882	2070	423	260	863	332	512	308	540	200	442	215	344	235
sapp43878	1251	89	92	211	133	230	137	203	146	183	85	139	175
sapp43877	2850	946	696	1378	1431	1079	1050	891	874	982	928	1122	865
sapp43877	474	0	0	0	0	0	0	0	0	0	0	0	0
sapp43877	576	0	1	0	0	0	1	0	0	1	0	1	0
sapp43885	785	9	3	20	1	14	6	19	4	18	2	18	3
sapp43879	1584	22	1	46	5	29	2	9	2	12	8	8	1
sapp43893	375	1	1	0	2	0	0	0	0	1	0	0	0
sapp43888	1349	19	10	43	18	39	20	26	15	38	7	35	15
sapp43887	618	0	0	0	0	0	0	0	0	0	0	0	0
sapp43898	501	6	1	6	2	5	4	7	8	1	9	6	5
sapp43897	1765	586	392	842	657	804	667	693	603	806	635	805	545
sapp43899	1213	421	372	563	573	528	422	452	646	578	600	595	510
sapp43892	1097	5467	17	9875	76	5890	392	4450	364	3826	75	6257	100
sapp43886	713	0	0	0	0	0	0	0	0	0	0	0	0
sapp43890	1045	0	0	1	0	0	0	105	88	56	36	110	73
sapp43894	1425	490	469	734	740	640	386	513	463	622	562	620	474
sapp43900	735	450	127	261	48	618	298	494	95	298	152	550	218
sapp51953	1652	0	0	0	0	0	0	0	0	0	0	0	0
sapp51953	1437	94	49	108	84	107	130	128	123	78	82	190	77
sapp51953	59	0	0	0	0	0	0	0	0	0	0	0	0
sapp51953	1693	0	0	0	0	0	0	0	0	0	0	0	0
sapp51953	2087	0	0	2	0	0	0	0	0	0	0	0	0
sapp51959	1682	591	194	782	341	612	337	376	239	495	317	735	236
sapp51958	1047	0	0	0	1	2	0	0	0	0	0	2	0
sapp51961	2010	310	107	471	171	367	183	356	168	352	158	420	139
sapp51952	279	0	0	0	0	0	0	0	0	0	0	0	0
sapp51956	1880	380	323	586	558	445	389	401	387	495	444	490	350
sapp51960	225	0	0	0	0	1	1	0	0	0	0	0	0
sapp30282	291	0	0	0	0	0	0	0	0	0	0	0	0
sapp30288	1994	112	44	181	74	149	88	89	98	112	60	87	36
sapp30285	860	0	0	0	0	0	0	0	0	0	0	0	0
sapp30289	417	0	0	0	0	0	0	0	0	0	0	0	0
sapp30291	372	0	0	0	5	0	1	4	2	3	0	2	5
sapp30290	119	0	0	0	0	0	0	0	0	0	0	0	0
sapp30290	2374	569	459	784	526	644	438	594	368	627	339	842	616
sapp30290	176	22	19	32	30	24	16	17	14	23	19	66	39
sapp30295	618	134	56	167	117	137	94	115	83	106	98	172	103
sapp30293	1884	565	347	674	503	656	399	625	402	630	370	787	417
sapp30297	620	5	11	2	2	3	10	6	4	10	34	17	22
sapp30299	897	0	0	0	0	0	0	0	0	0	0	0	1
sapp30298	519	0	0	0	0	0	0	0	0	0	1	0	0
sapp30303	1538	103	33	203	53	223	84	281	98	212	172	198	128
sapp30304	1174	93	32	98	35	77	43	96	41	89	41	78	32
sapp30300	579	0	0	0	0	0	0	0	0	0	0	0	0
sapp50727	525	0	0	0	0	0	0	0	0	0	0	1	0
sapp50729	537	0	0	0	0	0	0	0	0	0	0	0	0
sapp50726	426	0	0	0	0	0	0	0	0	0	0	0	0
sapp50728	483	0	0	0	0	0	0	0	0	0	0	0	0
sapp43193	741	0	0	0	0	0	0	0	0	0	0	0	0
sapp43195	714	0	0	0	0	0	0	0	0	0	0	0	0
sapp43194	264	0	0	0	0	0	0	0	0	0	0	0	0
sapp43196	705	0	0	0	0	0	0	0	1	0	0	0	0
sapp43200	1633	152	306	291	538	223	390	295	423	230	201	265	451
sapp43200	57	3	4	4	5	1	11	4	3	2	3	2	1
sapp43200	120	1	0	4	2	1	1	2	1	0	0	1	1
sapp43200	78	0	0	0	0	0	0	0	0	0	0	0	0
sapp43199	692	8	0	8	9	9	4	5	5	3	1	11	3
sapp43199	132	0	0	0	0	0	0	0	0	0	0	0	0
sapp43199	535	104	35	154	51	112	52	88	58	91	49	162	46
sapp43199	531	46	5	40	17	36	10	29	12	34	13	47	15
sapp43199	359	0	0	0	0	0	0	0	0	0	0	0	1
sapp47759	1008	118	37	164	82	158	78	120	69	136	60	163	81
sapp47755	285	1	0	0	0	0	0	0	0	0	0	0	0
sapp47761	324	0	0	0	0	0	0	0	0	0	0	0	0
sapp44676	237	28	8	52	9	29	11	75	29	49	27	95	16
sapp44672	596	0	0	0	0	0	0	0	0	0	0	0	0
sapp44672	198	0	0	0	0	0	0	0	0	0	0	0	0
sapp44672	2133	291	35	478	57	310	56	243	53	228	60	268	59
sapp44672	531	15	15	29	13	22	15	28	12	36	27	16	23
sapp44672	660	23	1	48	3	22	11	17	3	29	10	23	3
sapp44665	1386	0	0	0	0	0	0	0	0	0	0	1	0
sapp44670	2316	233	426	253	850	257	992	251	617	296	1090	300	618
sapp44675	648	4	17	0	41	1	29	23	65	18	78	8	71
sapp44674	2575	905	5611	740	8691	1415	6901	1428	9394	3566	10556	1518	8991
sapp44668	4485	11	5	5	11	6	6	8	11	11	12	7	7
sapp44682	711	0	1	4	2	6	0	4	3	2	5	1	3
sapp44678	1292	511	258	760	533	630	359	486	319	489	295	615	415
sapp44693	3706	161	202	230	333	184	258	165	172	195	181	181	236
sapp44677	801	46	2	88	16	32	19	74	15	22	17	149	9
sapp44677	42	1	0	4	0	2	3	3	1	2	0	6	0
sapp44686	3312	96	816	105	1298	178	946	124	1195	463	1463	152	1227
sapp44695	1845	6	7	11	9	4	17	3	5	2	7	4	7
sapp44683	289	0	0	0	0	0	0	0	0	0	0	0	0
sapp44683	861	0	0	0	0	0	0	0	0	0	0	0	0
sapp44683	954	0	0	0	0	0	0	0	0	0	0	0	0
sapp44683	6731	263	299	677	451	253	330	306	351	282	346	338	343
sapp44683	353	11	15	15	21	7	19	14	19	15	12	9	17
sapp44688	1297	2247	395	3607	1032	3183	1097	2115	1048	2392	819	3153	798
sapp44684	3071	2037	450	3294	542	1987	684	1519	421	1606	491	2052	595
sapp44694	783	0	0	0	0	0	0	0	0	0	0	0	0
sapp44689	1620	565	260	774	240	619	276	1334	505	928	344	1016	435
sapp44692	1698	204	180	311	236	262	246	315	287	310	234	299	237
sapp44680	1589	470	256	734	473	653	353	535	346	577	319	606	284
sapp44696	192	1	2	4	11	4	4	2	1	1	0	1	1
sapp44703	675	364	270	663	388	485	337	465	270	422	255	547	242
sapp44711	8242	404	399	494	581	463	846	480	587	450	458	577	344
sapp44697	1449	47	15	114	28	100	25	53	39	61	26	36	15
sapp44706	2054	302	243	497	406	435	340	435	333	507	335	372	320
sapp44705	3000	575	56	1308	121	1096	306	825	259	1451	187	631	212
sapp44705	237	7	1	7	3	5	1	14	4	19	1	8	2
sapp44705	144	0	0	0	0	0	0	0	0	0	0	0	0
sapp44708	1715	83	36	113	47	108	50	96	67	98	37	106	45
sapp44698	1594	205	144	275	226	209	224	218	231	196	157	240	147
sapp44698	357	0	0	0	0	0	0	0	0	0	0	0	0
sapp44698	300	0	0	0	0	0	0	0	0	0	0	0	0
